ï»¿Ã¯Â»Â¿Authors,Title,Source Title,Abstract,Publication Year,Early Access Date,DOI,UT (Unique WOS ID),unique_key,text,predicted_relevance,predicted_label,key,Ã¯Â»Â¿record_id,Authors,asreview_prior,exported_notes_1,included,asreview_ranking,is_clinical
"Tafin, UF; Aubin, GG; Eich, G; Trampuz, A; Corvec, S",Occurrence and new mutations involved in rifampicin-resistant Propionibacterium acnes strains isolated from biofilm or device-related infections,ANAEROBE,"We described for the first time the amino acid substitutions conferring rifampicin resistance in eight Propionibacterium acnes strains isolated from patients with biofilm or device-related infections. We identified different mutations in cluster I and one mutation, never reported, in cluster II of the rpoB gene (I480V) associated with the most frequent one in cluster I (S442L). Half of the patients previously received treatment with rifampicin. (C) 2015 Elsevier Ltd. All rights reserved.",2015,,10.1016/j.anaerobe.2015.05.003,WOS:000358098600017,10.1016/j.anaerobe.2015.05.003||WOS:000358098600017,"occurrence and new mutations involved in rifampicin-resistant propionibacterium acnes strains isolated from biofilm or device-related infections we described for the first time the amino acid substitutions conferring rifampicin resistance in eight propionibacterium acnes strains isolated from patients with biofilm or device-related infections. we identified different mutations in cluster i and one mutation, never reported, in cluster ii of the rpob gene (i480v) associated with the most frequent one in cluster i (s442l). half of the patients previously received treatment with rifampicin. (c) 2015 elsevier ltd. all rights reserved.",0.6373079,1.0,10.1016/j.anaerobe.2015.05.003||WOS:000358098600017,,,,,,,True
"Aathithan, S; French, GL",Hypermutability in clinical isolates of Klebsiella pneumoniae is uncommon and is unrelated to ciprofloxacin resistance,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,"We investigated hypermutability in Klebsiella pneumoniae and its association with ciprofloxacin resistance and mutations in the quinolone resistance-determining region (QRDR). Sixty-four strains of K. pneumoniae isolated in London, UK, between 1995 and 2002 with widely differing ciprofloxacin minimum inhibitory concentrations (MICs) and known gyrA and parC sequences were tested for mutation frequencies by selection with rifampicin. Only three hypermutable (frequency >= 10(-6)) strains were identified, with ciprofloxacin MICs of 0.25 mu g/mL, 8 mu g/mL and 64 mu g/mL. There was no relationship between hypermutation and the ciprofloxacin MIC or QRDR mutations. Screening selected strains with streptomycin did not reveal any hypermutators, and screening with ciprofloxacin identified only two of the three hypermutators identified by rifampicin. Hypermutation in K. pneumoniae is uncommon and does not contribute to accumulation of QRDR mutations or directly to ciprofloxacin resistance. (C) 2010 Elsevier B.V. and the International Society of Chemotherapy. All rights reserved.",2010,,10.1016/j.ijantimicag.2010.04.010,WOS:000280062400008,10.1016/j.ijantimicag.2010.04.010||WOS:000280062400008,"hypermutability in clinical isolates of klebsiella pneumoniae is uncommon and is unrelated to ciprofloxacin resistance we investigated hypermutability in klebsiella pneumoniae and its association with ciprofloxacin resistance and mutations in the quinolone resistance-determining region (qrdr). sixty-four strains of k. pneumoniae isolated in london, uk, between 1995 and 2002 with widely differing ciprofloxacin minimum inhibitory concentrations (mics) and known gyra and parc sequences were tested for mutation frequencies by selection with rifampicin. only three hypermutable (frequency >= 10(-6)) strains were identified, with ciprofloxacin mics of 0.25 mu g/ml, 8 mu g/ml and 64 mu g/ml. there was no relationship between hypermutation and the ciprofloxacin mic or qrdr mutations. screening selected strains with streptomycin did not reveal any hypermutators, and screening with ciprofloxacin identified only two of the three hypermutators identified by rifampicin. hypermutation in k. pneumoniae is uncommon and does not contribute to accumulation of qrdr mutations or directly to ciprofloxacin resistance. (c) 2010 elsevier b.v. and the international society of chemotherapy. all rights reserved.",0.5479121,1.0,10.1016/j.ijantimicag.2010.04.010||WOS:000280062400008,,,,,,,True
"Suchland, RJ; Sandoz, KM; Jeffrey, BM; Stamm, WE; Rockey, DD",Horizontal Transfer of Tetracycline Resistance among Chlamydia spp. In Vitro,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,"There are no examples of stable tetracycline resistance in clinical strains of Chlamydia trachomatis. However, the swine pathogen Chlamydia suis is commonly tetracycline resistant, both in America and in Europe. In tested U. S. strains, this resistance is mediated by a genomic island carrying a tet(C) allele. In the present study, the ability of C. suis to mobilize tet( C) into other chlamydial species was examined. Differently antibiotic resistant strains of C. suis, C. trachomatis, and Chlamydia muridarum were used in coculture experiments to select for multiply antibiotic resistant progeny. Coinfection of mammalian cells with a naturally occurring tetracycline-resistant strain of C. suis and a C. muridarum or C. trachomatis strain containing selected mutations encoding rifampin ( rifampicin) or ofloxacin resistance readily produced doubly resistant recombinant clones that demonstrated the acquisition of tetracycline resistance. The resistance phenotype in the progeny from a C. trachomatis L2/ofl(R)-C. suis R19/tet(R) cross resulted from integration of a 40-kb fragment into a single ribosomal operon of a recipient, leading to a merodiploid structure containing three rRNA operons. In contrast, a cross between C. suis R19/tet(R) and C. muridarum MoPn/ofl(R) led to a classical double-crossover event transferring 99 kb of DNA from C. suis R19/tet(R) into C. muridarum MoPn/ofl(R). Tetracycline resistance was also transferred to recent clinical strains of C. trachomatis. Successful crosses were not obtained when a rifampin-resistant Chlamydophila caviae strain was used as a recipient for crosses with C. suis or C. trachomatis. These findings provide a platform for further exploration of the biology of horizontal gene transfer in Chlamydia while bringing to light potential public health concerns generated by the possibility of acquisition of tetracycline resistance by human chlamydial pathogens.",2009,,10.1128/AAC.00477-09,WOS:000270881200005,10.1128/AAC.00477-09||WOS:000270881200005,"horizontal transfer of tetracycline resistance among chlamydia spp. in vitro there are no examples of stable tetracycline resistance in clinical strains of chlamydia trachomatis. however, the swine pathogen chlamydia suis is commonly tetracycline resistant, both in america and in europe. in tested u. s. strains, this resistance is mediated by a genomic island carrying a tet(c) allele. in the present study, the ability of c. suis to mobilize tet( c) into other chlamydial species was examined. differently antibiotic resistant strains of c. suis, c. trachomatis, and chlamydia muridarum were used in coculture experiments to select for multiply antibiotic resistant progeny. coinfection of mammalian cells with a naturally occurring tetracycline-resistant strain of c. suis and a c. muridarum or c. trachomatis strain containing selected mutations encoding rifampin ( rifampicin) or ofloxacin resistance readily produced doubly resistant recombinant clones that demonstrated the acquisition of tetracycline resistance. the resistance phenotype in the progeny from a c. trachomatis l2/ofl(r)-c. suis r19/tet(r) cross resulted from integration of a 40-kb fragment into a single ribosomal operon of a recipient, leading to a merodiploid structure containing three rrna operons. in contrast, a cross between c. suis r19/tet(r) and c. muridarum mopn/ofl(r) led to a classical double-crossover event transferring 99 kb of dna from c. suis r19/tet(r) into c. muridarum mopn/ofl(r). tetracycline resistance was also transferred to recent clinical strains of c. trachomatis. successful crosses were not obtained when a rifampin-resistant chlamydophila caviae strain was used as a recipient for crosses with c. suis or c. trachomatis. these findings provide a platform for further exploration of the biology of horizontal gene transfer in chlamydia while bringing to light potential public health concerns generated by the possibility of acquisition of tetracycline resistance by human chlamydial pathogens.",0.5696191,1.0,10.1128/AAC.00477-09||WOS:000270881200005,,,,,,,True
"Safi, H; Sayers, B; HazbÃÂÃÂ³n, MH; Alland, D","Transfer of embB codon 306 mutations into clinical Mycobacterium tuberculosis strains alters susceptibility to ethambutol, isoniazid, and rifampin",ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,"Implicated as a major mechanism of ethambutol (EMB) resistance in clinical studies of Mycobacterium tuberculosis, mutations in codon 306 of the embB gene (embB306) have also been detected in EMB-susceptible clinical isolates. Other studies have found strong associations between embB306 mutations and multidrug resistance, but not EMB resistance. We performed allelic exchange studies in EMB-susceptible and EMB-resistant clinical H. tuberculosis isolates to identify the role of embB306 mutations in any type of drug resistance. Replacing wild-type embB306 ATG from EMB-susceptible clinical M. tuberculosis strain 210 with embB306 ATA, ATC, CTG, or GTG increased the EMB MIC from 2 mu g/ml to 7, 7, 8.5, and 14 mu g/ml, respectively. Replacing embB306 ATC or GTG from two high-level EMB-resistant clinical strains with wild-type ATG lowered EMB MICs from 20 mu g/ml or 28 mu g/ml, respectively, to 3 mu g/ml. All parental and isogenic mutant strains had identical isoniazid (INH) and rifampin (RIF) MICs. However, embB306 CTG mutants had growth advantages compared to strain 210 at sub-MICs of INH or RIF in monocultures and at sub-MICs of INH in competition assays. CTG mutants were also more resistant to the additive or synergistic activities of INH, RIF, or EMB used in different combinations. These results demonstrate that embB306 mutations cause an increase in the EMB MIC, a variable degree of EMB resistance, and are necessary but not sufficient for high-level EMB resistance. The unusual growth property of embB306 mutants in other antibiotics suggests that they may be amplified during treatment in humans and that a single mutation may affect antibiotic susceptibility against multiple first-line antibiotics.",2008,,10.1128/AAC.01486-07,WOS:000256272700019,10.1128/AAC.01486-07||WOS:000256272700019,"transfer of embb codon 306 mutations into clinical mycobacterium tuberculosis strains alters susceptibility to ethambutol, isoniazid, and rifampin implicated as a major mechanism of ethambutol (emb) resistance in clinical studies of mycobacterium tuberculosis, mutations in codon 306 of the embb gene (embb306) have also been detected in emb-susceptible clinical isolates. other studies have found strong associations between embb306 mutations and multidrug resistance, but not emb resistance. we performed allelic exchange studies in emb-susceptible and emb-resistant clinical h. tuberculosis isolates to identify the role of embb306 mutations in any type of drug resistance. replacing wild-type embb306 atg from emb-susceptible clinical m. tuberculosis strain 210 with embb306 ata, atc, ctg, or gtg increased the emb mic from 2 mu g/ml to 7, 7, 8.5, and 14 mu g/ml, respectively. replacing embb306 atc or gtg from two high-level emb-resistant clinical strains with wild-type atg lowered emb mics from 20 mu g/ml or 28 mu g/ml, respectively, to 3 mu g/ml. all parental and isogenic mutant strains had identical isoniazid (inh) and rifampin (rif) mics. however, embb306 ctg mutants had growth advantages compared to strain 210 at sub-mics of inh or rif in monocultures and at sub-mics of inh in competition assays. ctg mutants were also more resistant to the additive or synergistic activities of inh, rif, or emb used in different combinations. these results demonstrate that embb306 mutations cause an increase in the emb mic, a variable degree of emb resistance, and are necessary but not sufficient for high-level emb resistance. the unusual growth property of embb306 mutants in other antibiotics suggests that they may be amplified during treatment in humans and that a single mutation may affect antibiotic susceptibility against multiple first-line antibiotics.",0.49537387,1.0,10.1128/AAC.01486-07||WOS:000256272700019,,,,,,,True
"Binet, R; Maurelli, AT",Frequency of spontaneous mutations that confer antibiotic resistance in Chlamydia spp.,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,"Mutations in rRNA genes (rrn) that confer resistance to ribosomal inhibitors are typically recessive or weakly codominant and have been mostly reported for clinical strains of pathogens possessing only one or two rrn operons, such as Helicobacterpylori and Mycobacterium spp. An analysis of the genome sequences of several members of the Chlamydiaceae revealed that these obligate intracellular bacteria harbor only one or two sets of rRNA genes. To study the contribution of rRNA mutations to the emergence of drug resistance in the Chlamydiaceae, we used the sensitivities of Chlainydia trachomatis L2 (two rrn operons) and Chlamydophila psittaci 6BC (one rrn operon) to the aminoglycoside spectinomycin as a model. Confluent cell monolayers were infected in a plaque assay with about 108 wild-type infectious particles and then treated with the antibiotic. After a 2-week incubation time, plaques formed by spontaneous spectinomycin-resistant (Spc(r)) mutants appeared with a frequency of 5 x 10(-5) for C. psittaci 6BC. No Spc(r) mutants were isolated for C. trachomatis L2, although the frequencies of rifampin resistance were in the same range for both strains (i.e., 10(-7)). The risk of emergence of Chlainydia strains resistant to tetracyclines and macrolides, the ribosomal drugs currently used to treat chlamydial infections, is discussed.",2005,,10.1128/AAC.49.7.2865-2873.2005,WOS:000230181800041,10.1128/AAC.49.7.2865-2873.2005||WOS:000230181800041,"frequency of spontaneous mutations that confer antibiotic resistance in chlamydia spp. mutations in rrna genes (rrn) that confer resistance to ribosomal inhibitors are typically recessive or weakly codominant and have been mostly reported for clinical strains of pathogens possessing only one or two rrn operons, such as helicobacterpylori and mycobacterium spp. an analysis of the genome sequences of several members of the chlamydiaceae revealed that these obligate intracellular bacteria harbor only one or two sets of rrna genes. to study the contribution of rrna mutations to the emergence of drug resistance in the chlamydiaceae, we used the sensitivities of chlainydia trachomatis l2 (two rrn operons) and chlamydophila psittaci 6bc (one rrn operon) to the aminoglycoside spectinomycin as a model. confluent cell monolayers were infected in a plaque assay with about 108 wild-type infectious particles and then treated with the antibiotic. after a 2-week incubation time, plaques formed by spontaneous spectinomycin-resistant (spc(r)) mutants appeared with a frequency of 5 x 10(-5) for c. psittaci 6bc. no spc(r) mutants were isolated for c. trachomatis l2, although the frequencies of rifampin resistance were in the same range for both strains (i.e., 10(-7)). the risk of emergence of chlainydia strains resistant to tetracyclines and macrolides, the ribosomal drugs currently used to treat chlamydial infections, is discussed.",0.6785885,1.0,10.1128/AAC.49.7.2865-2873.2005||WOS:000230181800041,,,,,,,True
"Bamaga, M; Wright, DJM; Zhang, H",Selection of in vitro mutants of pyrazinamide-resistant Mycobacterium tuberculosis,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,"Mutations within the pncA gene coding for pyrazinamidase of Mycobacterium tuberculosis can cause pyrazinamide (PZA) resistance. The effect of drug concentrations on PZA resistance in a clinical isolate of M. tuberculosis was studied in vitro. Serial passage at gradually increased concentrations of PZA from 200 to 500 mug/ml was performed using BACTEC radiometric method. Thirteen in vitro-selected variant strains were assembled and sequence analysis showed that 12 of the 13 variants had a novel single point mutation within the pncA gene by deletion at nucleotide 381 (G), codon 127. This lead to a frameshift that affected the function of the pyrazinamidase resulting in PZA resistance regardless of different PZA concentrations used. One variant had a silent mutation at nucleotide 6 (G --> A) and remains PZA sensitive. We conclude that the mutation location found is an important position for full resistance, at least in this strain. The lack of further mutations even after exposure to higher PZA concentrations implies a critical value for development of resistance-a level exceeded in tissues in clinical treatment regimes. (C) 2002 Elsevier Science B.V. and International Society of Chemotherapy. All rights reserved.",2002,,10.1016/S0924-8579(02)00182-6,WOS:000178989700007,10.1016/S0924-8579(02)00182-6||WOS:000178989700007,"selection of in vitro mutants of pyrazinamide-resistant mycobacterium tuberculosis mutations within the pnca gene coding for pyrazinamidase of mycobacterium tuberculosis can cause pyrazinamide (pza) resistance. the effect of drug concentrations on pza resistance in a clinical isolate of m. tuberculosis was studied in vitro. serial passage at gradually increased concentrations of pza from 200 to 500 mug/ml was performed using bactec radiometric method. thirteen in vitro-selected variant strains were assembled and sequence analysis showed that 12 of the 13 variants had a novel single point mutation within the pnca gene by deletion at nucleotide 381 (g), codon 127. this lead to a frameshift that affected the function of the pyrazinamidase resulting in pza resistance regardless of different pza concentrations used. one variant had a silent mutation at nucleotide 6 (g --> a) and remains pza sensitive. we conclude that the mutation location found is an important position for full resistance, at least in this strain. the lack of further mutations even after exposure to higher pza concentrations implies a critical value for development of resistance-a level exceeded in tissues in clinical treatment regimes. (c) 2002 elsevier science b.v. and international society of chemotherapy. all rights reserved.",0.5796487,1.0,10.1016/S0924-8579(02)00182-6||WOS:000178989700007,,,,,,,True
"Salvatore, P; Bucci, C; Pagliarulo, C; Tredici, M; Colicchio, R; Cantalupo, G; Bardaro, M; Del Giudice, L; Massardo, DR; Lavitola, A; Bruni, CB; Alifano, P",Phenotypes of a naturally defective recB allele in Neisseria meningitidis clinical isolates,INFECTION AND IMMUNITY,"Neisseria meningitidis strains belonging to the hypervirullent lineage ET-37 and several unrelated strains are extremely UV sensitive. The phenotype is consequent to the presence of a nonfunctional recB(ET-37) allele carrying multiple missense mutations. Phenotypic analysis has been performed with congenic meningococcal strains harboring either the wild-type recB allele or the recB(ET-37) allele. Congenic reCB(ET-37) meningococci, in addition to being sensitive to UV, were defective both in repair of DNA lesions induced by UV treatment and, partially, in recombination-mediated transformation. Consistently, the wild-type, but not the recB(ET-37), allele was able to complement the Escherichia coli recB21 mutation to UV resistance and proficiency in recombination. recB(ET-37) meningococci did not exhibit higher frequencies of spontaneous mutation to rifampin resistance than recB-proficient strains. However, mutation rates were enhanced following UV treatment, a phenomenon not observed in the recB-proficient counterpart. Interestingly, the results of PCR-based assays demonstrated that the presence of the recB(ET-37) allele considerably increased the frequency of recombination at the pilin loci. The main conclusion that can be drawn is that the presence of the defective recB(ET-37) allele in N. meningitidis isolates causes an increase in genetic diversity, due to an ineffective RecBCD-dependent DNA repair and recombination pathway, and an increase in pilin antigenic variation.",2002,,10.1128/IAI.70.8.4185-4195.2002,WOS:000176909400025,10.1128/IAI.70.8.4185-4195.2002||WOS:000176909400025,"phenotypes of a naturally defective recb allele in neisseria meningitidis clinical isolates neisseria meningitidis strains belonging to the hypervirullent lineage et-37 and several unrelated strains are extremely uv sensitive. the phenotype is consequent to the presence of a nonfunctional recb(et-37) allele carrying multiple missense mutations. phenotypic analysis has been performed with congenic meningococcal strains harboring either the wild-type recb allele or the recb(et-37) allele. congenic recb(et-37) meningococci, in addition to being sensitive to uv, were defective both in repair of dna lesions induced by uv treatment and, partially, in recombination-mediated transformation. consistently, the wild-type, but not the recb(et-37), allele was able to complement the escherichia coli recb21 mutation to uv resistance and proficiency in recombination. recb(et-37) meningococci did not exhibit higher frequencies of spontaneous mutation to rifampin resistance than recb-proficient strains. however, mutation rates were enhanced following uv treatment, a phenomenon not observed in the recb-proficient counterpart. interestingly, the results of pcr-based assays demonstrated that the presence of the recb(et-37) allele considerably increased the frequency of recombination at the pilin loci. the main conclusion that can be drawn is that the presence of the defective recb(et-37) allele in n. meningitidis isolates causes an increase in genetic diversity, due to an ineffective recbcd-dependent dna repair and recombination pathway, and an increase in pilin antigenic variation.",0.5010791,1.0,10.1128/IAI.70.8.4185-4195.2002||WOS:000176909400025,,,,,,,True
,Mechanisms of Staphylococcus aureus Antibiotics Resistance Revealed by Adaptive Laboratory Evolution,CURRENT MICROBIOLOGY,"Infection caused by drug-resistant Staphylococcus aureus is a serious public health and veterinary concern. Lack of a comprehensive understanding of the mechanisms underlying the emergence of drug-resistant strains, it makes S. aureus one of the most intractable pathogenic bacteria. To identify mutations that confer resistance to anti-S. aureus drugs, we established a laboratory-based adaptive evolution system and performed 10 rounds of evolution experiments against 15 clinically used antibiotics. We discovered a panel of known and novel resistance-associated sites after performing whole-genome sequencing. Furthermore, we found that the resistance evolved at distinct rates. For example, streptomycin, rifampicin, fusidic acid and novobiocin all developed significant resistance quickly in the second round of evolution. Intriguingly, the cross-resistance experiment reveals that nearly all drug-resistant strains have varying degrees of increased sensitivity to fusidic acid, pointing to a novel approach to battle AMR. In addition, the in silico docking analysis shows that the evolved mutants affect the interaction of rifampcin-rpoB, as well as the novobiocin-gyrB. Moreover, for the genes we got in the laboratory evolution, mutant genes of clinical isolates of human had significant differences from the environmental isolates and animal isolates. We believe that the strategy and data set in this research will be helpful for battling AMR issue of S. aureus, and adaptable to other pathogenic microbes.",2025,,10.1007/s00284-024-03980-7,WOS:001390541100001,,"mechanisms of staphylococcus aureus antibiotics resistance revealed by adaptive laboratory evolution infection caused by drug-resistant staphylococcus aureus is a serious public health and veterinary concern. lack of a comprehensive understanding of the mechanisms underlying the emergence of drug-resistant strains, it makes s. aureus one of the most intractable pathogenic bacteria. to identify mutations that confer resistance to anti-s. aureus drugs, we established a laboratory-based adaptive evolution system and performed 10 rounds of evolution experiments against 15 clinically used antibiotics. we discovered a panel of known and novel resistance-associated sites after performing whole-genome sequencing. furthermore, we found that the resistance evolved at distinct rates. for example, streptomycin, rifampicin, fusidic acid and novobiocin all developed significant resistance quickly in the second round of evolution. intriguingly, the cross-resistance experiment reveals that nearly all drug-resistant strains have varying degrees of increased sensitivity to fusidic acid, pointing to a novel approach to battle amr. in addition, the in silico docking analysis shows that the evolved mutants affect the interaction of rifampcin-rpob, as well as the novobiocin-gyrb. moreover, for the genes we got in the laboratory evolution, mutant genes of clinical isolates of human had significant differences from the environmental isolates and animal isolates. we believe that the strategy and data set in this research will be helpful for battling amr issue of s. aureus, and adaptable to other pathogenic microbes.",,,10.1007/s00284-024-03980-7||WOS:001390541100001,0.0,"Ma, SW; Xu, YF; Ma, JJ; Luo, D; Huang, ZX; Wang, LL; Xie, WL; Luo, Z; Zhang, HH; Jiang, JJ; Jin, YZ; Zhang, JM; Zhu, JG; Wang, Z",0.0,complex but relevant,1.0,,True
,Rifamycin Resistance in Clostridium difficile Is Generally Associated with a Low Fitness Burden,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,"We characterized clinically occurring and novel mutations in the beta subunit of RNA polymerase in Clostridium difficile (CdRpoB), conferring rifamycin (including rifaximin) resistance. The Arg(505)Lys substitution did not impose an in vitro fitness cost, which may be one reason for its dominance among rifamycin-resistant clinical isolates. These observations were supported through the structural modeling of CdRpoB. In general, most mutations lacked in vitro fitness costs, suggesting that rifamycin resistance may in some cases persist in the clinic.",2016,,10.1128/AAC.01137-16,WOS:000389055400062,,"rifamycin resistance in clostridium difficile is generally associated with a low fitness burden we characterized clinically occurring and novel mutations in the beta subunit of rna polymerase in clostridium difficile (cdrpob), conferring rifamycin (including rifaximin) resistance. the arg(505)lys substitution did not impose an in vitro fitness cost, which may be one reason for its dominance among rifamycin-resistant clinical isolates. these observations were supported through the structural modeling of cdrpob. in general, most mutations lacked in vitro fitness costs, suggesting that rifamycin resistance may in some cases persist in the clinic.",,,10.1128/AAC.01137-16||WOS:000389055400062,33.0,"Dang, UT; Zamora, I; Hevener, KE; Adhikari, S; Wu, XQ; Hurdle, JG",0.0,,1.0,,True
,Rifampicin and rifabutin resistance in 1003 Mycobacterium tuberculosis clinical isolates,JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,"Objectives: Drug-resistant TB remains a public health challenge. Rifamycins are among the most potent anti-TB drugs. They are known to target the RpoB subunit of RNA polymerase; however, our understanding of how rifamycin resistance is genetically encoded remains incomplete. Here we investigated rpoB genetic diversity and cross-resistance between the two rifamycin drugs rifampicin and rifabutin. Methods: We performed WGS of 1003 Mycobacterium tuberculosis clinical isolates and determined MICs of both rifamycin agents on 7H10 agar using the indirect proportion method. We generated rpoB mutants in a laboratory strain and measured their antibiotic susceptibility using the alamarBlue reduction assay. Results: Of the 1003 isolates, 766 were rifampicin resistant and 210 (27%) of these were rifabutin susceptible; 102/210 isolates had the rpoB mutation D435V (Escherichia coli D516V). Isolates with discordant resistance were 17.2 times more likely to harbour a D435V mutation than those resistant to both agents (OR 17.2, 95% CI 10.5-27.9, P value, <10(-40)). Compared with WT, the D435V in vitro mutant had an increased IC50 of both rifamycins; however, in both cases to a lesser degree than the S450L (E. coli S531L) mutation. Conclusions: The observation that the rpoB D435V mutation produces an increase in the IC50 of both drugs contrasts with findings from previous smaller studies that suggested that isolates with the D435V mutation remain rifabutin susceptible despite being rifampicin resistant. Our finding thus suggests that the recommended critical testing concentration for rifabutin should be revised.",2019,,10.1093/jac/dkz048,WOS:000482076800004,,"rifampicin and rifabutin resistance in 1003 mycobacterium tuberculosis clinical isolates objectives: drug-resistant tb remains a public health challenge. rifamycins are among the most potent anti-tb drugs. they are known to target the rpob subunit of rna polymerase; however, our understanding of how rifamycin resistance is genetically encoded remains incomplete. here we investigated rpob genetic diversity and cross-resistance between the two rifamycin drugs rifampicin and rifabutin. methods: we performed wgs of 1003 mycobacterium tuberculosis clinical isolates and determined mics of both rifamycin agents on 7h10 agar using the indirect proportion method. we generated rpob mutants in a laboratory strain and measured their antibiotic susceptibility using the alamarblue reduction assay. results: of the 1003 isolates, 766 were rifampicin resistant and 210 (27%) of these were rifabutin susceptible; 102/210 isolates had the rpob mutation d435v (escherichia coli d516v). isolates with discordant resistance were 17.2 times more likely to harbour a d435v mutation than those resistant to both agents (or 17.2, 95% ci 10.5-27.9, p value, <10(-40)). compared with wt, the d435v in vitro mutant had an increased ic50 of both rifamycins; however, in both cases to a lesser degree than the s450l (e. coli s531l) mutation. conclusions: the observation that the rpob d435v mutation produces an increase in the ic50 of both drugs contrasts with findings from previous smaller studies that suggested that isolates with the d435v mutation remain rifabutin susceptible despite being rifampicin resistant. our finding thus suggests that the recommended critical testing concentration for rifabutin should be revised.",,,10.1093/jac/dkz048||WOS:000482076800004,315.0,"Farhat, MR; Sixsmith, J; Calderon, R; Hicks, ND; Fortune, SM; Murray, M",1.0,,1.0,,True
