Unit,EUCLIDEAN_HDBSCAN,MANHATTAN_HDBSCAN,COSINE_HDBSCAN,EUCLIDEAN_KMEANS,MANHATTAN_KMEANS,COSINE_KMEANS,EUCLIDEAN_DBSCAN,MANHATTAN_DBSCAN,COSINE_DBSCAN,EUCLIDEAN_GMM,MANHATTAN_GMM,COSINE_GMM
Acinetobacter baylyi,0,0,0,3,3,3,1,1,1,2,1,1
Bacillus anthracis,0,0,2,4,4,3,1,1,1,1,1,1
Bacillus cereus,0,0,0,4,4,3,1,1,1,1,1,1
Bacillus subtilis,0,0,2,2,3,3,1,1,1,1,1,1
Bacillus velezensis,0,0,2,2,2,2,1,1,1,1,1,1
Brucella melitensis,2,0,0,3,4,4,1,1,1,1,1,1
Burkholderia vietnamiensis,2,0,0,4,4,3,1,1,1,2,1,1
Chlamydia trachomatis,2,0,0,3,2,4,1,1,1,1,1,1
Chlamydophila pneumoniae,2,0,2,4,4,3,1,1,1,1,1,1
Cutibacterium acnes,2,0,2,2,2,3,1,1,1,1,1,1
Deinococcus radiodurans,0,0,1,1,1,4,1,1,1,2,2,1
Enterococcus faecalis,0,0,0,2,3,2,1,1,1,1,1,1
Enterococcus faecium,2,0,2,2,2,2,1,1,1,1,1,1
Escherichia coli,0,0,1,1,1,4,1,1,1,2,2,1
Lactiplantibacillus plantarum,2,0,2,3,3,3,1,1,1,1,1,1
Listeria monocytogenes,2,0,0,4,4,4,1,1,1,1,1,1
Mycobacterium tuberculosis,2,0,0,2,2,2,1,1,1,1,1,1
Mycolicibacterium smegmatis,2,0,2,2,2,2,1,1,1,1,1,1
Pseudomonas aeruginosa,0,0,1,1,1,1,1,1,1,2,2,1
Pseudomonas fluorescens,0,0,1,1,1,1,1,1,1,2,2,1
Pseudomonas fulva,1,0,1,1,1,1,1,1,1,2,2,1
Pseudomonas mendocina,1,0,0,1,1,1,1,1,1,2,2,1
Pseudomonas protegens,1,0,1,1,1,1,1,1,1,2,2,1
Pseudomonas putida,1,0,1,1,1,1,1,1,1,2,2,1
Riemerella anatipestifer,2,0,2,2,2,2,1,1,1,1,1,1
Salmonella enterica,0,0,1,1,1,1,1,1,1,2,2,1
Staphylococcus aureus,0,0,0,3,3,4,1,1,1,1,1,1
Staphylococcus epidermidis,2,0,0,2,2,2,1,1,1,1,1,1
Streptococcus pneumoniae,0,0,2,4,4,3,1,1,1,1,1,1
Streptomyces coelicolor,2,0,2,4,4,3,1,1,1,1,1,1
Stutzerimonas stutzeri,1,0,1,1,1,1,1,1,1,2,2,1
