Unit,EUCLIDEAN_HDBSCAN,MANHATTAN_HDBSCAN,COSINE_HDBSCAN,EUCLIDEAN_KMEANS,MANHATTAN_KMEANS,COSINE_KMEANS,EUCLIDEAN_DBSCAN,MANHATTAN_DBSCAN,COSINE_DBSCAN,EUCLIDEAN_GMM,MANHATTAN_GMM,COSINE_GMM
1,0,0,2,3,2,2,1,1,1,1,1,2
2,2,0,2,1,3,3,1,1,1,1,1,2
3,1,0,2,1,1,3,1,1,1,2,2,2
4,2,0,2,3,2,3,1,1,1,1,1,2
5,2,3,0,3,2,4,1,1,1,1,1,2
6,2,3,2,3,3,4,1,1,1,1,1,2
7,0,0,2,3,3,3,1,1,1,1,1,2
8,2,0,2,3,3,3,1,1,1,1,3,2
9,1,0,2,1,1,3,1,1,1,2,2,2
10,2,3,2,4,3,3,1,1,1,3,3,2
11,2,0,2,4,4,3,1,1,1,3,3,2
12,2,3,2,3,3,3,1,1,1,1,1,2
13,1,1,2,1,1,2,1,1,1,2,2,2
14,0,0,2,3,2,4,1,1,1,1,1,2
15,0,0,0,3,2,4,1,1,1,1,1,3
16,0,0,1,2,1,2,1,1,1,2,2,1
17,2,3,2,3,3,1,1,1,1,1,1,3
18,0,3,2,1,2,4,1,1,1,1,1,3
19,2,0,2,4,4,3,1,1,1,3,3,2
20,2,3,0,4,4,1,1,1,1,3,3,3
21,2,2,2,4,4,3,1,1,1,3,3,2
22,0,0,0,4,4,1,1,1,1,3,3,3
23,2,3,0,3,3,1,1,1,1,1,1,1
24,2,2,2,4,4,3,1,1,1,3,3,2
25,0,3,0,3,2,4,1,1,1,1,1,3
26,2,3,2,3,2,4,1,1,1,1,1,3
27,2,3,2,3,3,4,1,1,1,1,1,3
28,2,2,2,4,4,3,1,1,1,3,3,2
29,1,0,1,2,1,2,1,1,1,2,2,1
30,1,0,0,1,1,2,1,1,1,2,2,1
31,1,1,1,2,1,2,1,1,1,2,2,1
32,1,0,1,2,1,2,1,1,1,2,2,1
33,1,1,1,1,1,2,1,1,1,2,2,1
34,1,1,1,2,1,2,1,1,1,2,2,1
35,2,2,2,4,4,3,1,1,1,3,3,2
36,0,0,2,4,4,4,1,1,1,3,3,2
37,2,0,2,3,3,4,1,1,1,1,1,3
38,1,1,1,2,1,2,1,1,1,2,2,1
39,2,2,2,4,4,3,1,1,1,3,3,2
40,0,0,2,4,4,4,1,1,1,3,3,2
41,0,3,0,3,2,1,1,1,1,1,1,1
42,2,2,0,4,4,4,1,1,1,3,3,3
43,2,2,1,4,4,2,1,1,1,3,3,1
44,2,2,2,4,4,3,1,1,1,3,3,2
45,2,3,0,3,3,1,1,1,1,1,1,1
46,1,1,1,2,1,2,1,1,1,2,2,1
47,2,2,2,4,4,3,1,1,1,3,3,2
48,2,0,0,4,4,1,1,1,1,3,3,3
