Unit,EUCLIDEAN_HDBSCAN,MANHATTAN_HDBSCAN,COSINE_HDBSCAN,EUCLIDEAN_KMEANS,MANHATTAN_KMEANS,COSINE_KMEANS,EUCLIDEAN_DBSCAN,MANHATTAN_DBSCAN,COSINE_DBSCAN,EUCLIDEAN_GMM,MANHATTAN_GMM,COSINE_GMM
Bacillus anthracis,0,0,0,1,1,3,1,1,1,1,1,1
Bacillus subtilis,0,0,0,1,1,1,1,1,1,1,2,2
Chlamydia trachomatis,0,0,0,1,2,1,1,1,1,1,3,3
Deinococcus radiodurans,0,0,0,2,2,2,1,1,1,1,4,4
Enterococcus faecium,0,0,0,1,1,1,1,1,1,1,1,1
Escherichia coli,0,0,0,3,3,2,1,1,1,1,4,4
Mycobacterium tuberculosis,0,0,0,1,1,1,1,1,1,1,3,2
Pseudomonas aeruginosa,0,0,0,4,3,2,1,1,1,1,5,6
Pseudomonas fluorescens,0,0,0,4,4,4,1,1,1,1,6,5
Pseudomonas fulva,0,0,0,4,4,4,1,1,1,1,2,5
Pseudomonas mendocina,0,0,0,2,4,3,1,1,1,1,6,7
Pseudomonas putida,0,0,0,3,3,4,1,1,1,1,7,8
Salmonella enterica,0,0,0,3,3,2,1,1,1,1,7,4
Staphylococcus aureus,0,0,0,1,1,2,1,1,1,1,2,3
Stutzerimonas stutzeri,0,0,0,2,4,4,1,1,1,1,5,7
Vibrio parahaemolyticus,0,0,0,1,2,3,1,1,1,1,4,8
