Unit,EUCLIDEAN_HDBSCAN,MANHATTAN_HDBSCAN,COSINE_HDBSCAN,EUCLIDEAN_KMEANS,MANHATTAN_KMEANS,COSINE_KMEANS,EUCLIDEAN_DBSCAN,MANHATTAN_DBSCAN,COSINE_DBSCAN,EUCLIDEAN_GMM,MANHATTAN_GMM,COSINE_GMM
Acinetobacter baylyi,0,0,0,4,4,2,1,1,1,1,2,1
Bacillus anthracis,0,0,2,1,1,3,1,1,1,1,1,1
Bacillus cereus,0,0,2,1,1,3,1,1,1,1,1,2
Bacillus subtilis,0,0,2,4,4,4,1,1,1,1,1,1
Bacillus velezensis,0,0,0,4,4,3,1,1,1,1,1,1
Brucella melitensis,0,0,2,3,3,2,1,1,1,1,1,2
Burkholderia vietnamiensis,0,0,0,1,1,3,1,1,1,1,2,2
Chlamydia trachomatis,0,0,2,3,3,3,1,1,1,1,1,1
Chlamydophila pneumoniae,0,0,2,3,3,3,1,1,1,1,1,1
Cutibacterium acnes,0,0,0,3,3,4,1,1,1,1,1,1
Deinococcus radiodurans,0,0,0,2,2,1,1,1,1,1,2,2
Enterococcus faecalis,0,0,0,4,4,4,1,1,1,1,1,1
Enterococcus faecium,0,0,2,4,4,4,1,1,1,1,1,1
Escherichia coli,0,0,1,2,2,2,1,1,1,1,2,2
Lactiplantibacillus plantarum,0,0,0,4,4,3,1,1,1,1,1,1
Listeria monocytogenes,0,0,1,3,3,2,1,1,1,1,1,2
Mycobacterium tuberculosis,0,0,0,4,3,4,1,1,1,1,1,1
Mycolicibacterium smegmatis,0,0,2,4,3,4,1,1,1,1,1,1
Pseudomonas aeruginosa,0,0,1,2,2,1,1,1,1,1,2,2
Pseudomonas fluorescens,0,0,1,1,2,1,1,1,1,1,2,2
Pseudomonas fulva,0,0,0,2,2,1,1,1,1,1,2,2
Pseudomonas mendocina,0,0,1,1,1,1,1,1,1,1,2,2
Pseudomonas protegens,0,0,0,2,1,1,1,1,1,1,2,2
Pseudomonas putida,0,0,1,2,2,1,1,1,1,1,2,2
Riemerella anatipestifer,0,0,0,4,4,4,1,1,1,1,1,1
Salmonella enterica,0,0,0,2,2,1,1,1,1,1,2,2
Staphylococcus aureus,0,0,1,4,4,2,1,1,1,1,1,2
Staphylococcus epidermidis,0,0,2,3,3,4,1,1,1,1,1,1
Streptococcus pneumoniae,0,0,2,3,3,2,1,1,1,1,1,1
Streptomyces coelicolor,0,0,2,3,3,3,1,1,1,1,1,1
Streptomyces lividans,0,0,0,1,1,2,1,1,1,1,1,2
Stutzerimonas stutzeri,0,0,1,2,2,1,1,1,1,1,2,2
Vibrio parahaemolyticus,0,0,2,3,3,4,1,1,1,1,1,1
