Scheme,Metric,Method,Mean_Silhouette,Valid
EUCLIDEAN_HDBSCAN,EUCLIDEAN,HDBSCAN,NA,FALSE
MANHATTAN_HDBSCAN,MANHATTAN,HDBSCAN,NA,FALSE
COSINE_HDBSCAN,COSINE,HDBSCAN,NA,FALSE
EUCLIDEAN_KMEANS,EUCLIDEAN,KMEANS,0.2499,TRUE
MANHATTAN_KMEANS,MANHATTAN,KMEANS,0.298,TRUE
COSINE_KMEANS,COSINE,KMEANS,0.2999,TRUE
EUCLIDEAN_DBSCAN,EUCLIDEAN,DBSCAN,NA,FALSE
MANHATTAN_DBSCAN,MANHATTAN,DBSCAN,NA,FALSE
COSINE_DBSCAN,COSINE,DBSCAN,NA,FALSE
EUCLIDEAN_GMM,EUCLIDEAN,GMM,NA,FALSE
MANHATTAN_GMM,MANHATTAN,GMM,-0.0801,TRUE
COSINE_GMM,COSINE,GMM,0.1373,TRUE
