Unit,EUCLIDEAN_HDBSCAN,MANHATTAN_HDBSCAN,COSINE_HDBSCAN,EUCLIDEAN_KMEANS,MANHATTAN_KMEANS,COSINE_KMEANS,EUCLIDEAN_DBSCAN,MANHATTAN_DBSCAN,COSINE_DBSCAN,EUCLIDEAN_GMM,MANHATTAN_GMM,COSINE_GMM
Bacillus anthracis,0,0,0,4,4,4,1,1,1,1,1,2
Bacillus subtilis,0,0,0,1,4,1,1,1,1,1,2,1
Chlamydia trachomatis,0,0,0,1,1,1,1,1,1,1,7,2
Deinococcus radiodurans,0,0,0,1,3,2,1,1,1,1,3,2
Enterococcus faecium,0,0,0,4,4,4,1,1,0,1,2,1
Escherichia coli,0,0,0,2,3,4,1,1,1,1,4,2
Mycobacterium tuberculosis,0,0,0,4,1,4,1,1,0,1,1,1
Pseudomonas aeruginosa,0,0,0,2,2,2,1,1,1,1,5,2
Pseudomonas fluorescens,0,0,0,3,2,3,1,1,1,1,6,2
Pseudomonas fulva,0,0,0,3,2,3,1,1,1,1,6,2
Pseudomonas mendocina,0,0,0,3,1,3,1,1,1,1,1,2
Pseudomonas putida,0,0,0,2,3,2,1,1,1,1,4,2
Salmonella enterica,0,0,0,2,2,2,1,1,1,1,5,2
Staphylococcus aureus,0,0,0,1,1,1,1,1,1,1,7,2
Stutzerimonas stutzeri,0,0,0,3,3,3,1,1,1,1,3,2
