Unit,EUCLIDEAN_HDBSCAN,MANHATTAN_HDBSCAN,COSINE_HDBSCAN,EUCLIDEAN_KMEANS,MANHATTAN_KMEANS,COSINE_KMEANS,EUCLIDEAN_DBSCAN,MANHATTAN_DBSCAN,COSINE_DBSCAN,EUCLIDEAN_GMM,MANHATTAN_GMM,COSINE_GMM
Acinetobacter baylyi,0,0,0,3,3,3,1,1,1,1,1,1
Bacillus anthracis,0,2,0,2,1,2,1,1,1,1,1,1
Bacillus cereus,0,0,0,1,1,2,1,1,1,1,1,1
Bacillus velezensis,0,2,0,3,3,3,1,1,1,1,1,1
Brucella melitensis,0,1,0,2,2,4,1,1,1,1,2,1
Brucella suis,0,1,0,4,4,4,1,1,1,1,2,1
Burkholderia vietnamiensis,0,0,0,1,2,2,1,1,1,1,1,1
Chlamydia trachomatis,0,0,0,3,3,3,1,1,1,1,2,1
Chlamydophila pneumoniae,0,0,0,4,4,3,1,1,1,1,2,1
Cutibacterium acnes,0,1,0,3,3,3,1,1,1,1,2,1
Enterococcus faecalis,0,0,0,3,3,3,1,1,1,1,1,1
Lactiplantibacillus plantarum,0,2,0,2,2,2,1,1,1,1,1,1
Legionella pneumophila,0,0,0,4,4,4,1,1,1,1,2,1
Listeria monocytogenes,0,0,0,2,2,4,1,1,1,1,2,1
Mycolicibacterium smegmatis,0,2,0,3,3,2,1,1,1,1,1,1
Neisseria meningitidis,0,1,0,2,2,2,1,1,1,1,2,1
Pseudomonas fluorescens,0,2,0,1,1,1,1,1,1,1,1,1
Pseudomonas fulva,0,0,0,1,1,1,1,1,1,1,1,1
Pseudomonas mendocina,0,2,0,1,1,1,1,1,1,1,1,1
Pseudomonas protegens,0,2,0,1,1,1,1,1,1,1,1,1
Pseudomonas stutzeri,0,1,0,4,4,3,1,1,1,1,2,1
Rhodothermus marinus,0,1,0,4,4,2,1,1,1,1,2,1
Riemerella anatipestifer,0,2,0,3,3,2,1,1,1,1,1,1
Salmonella typhimurium,0,1,0,4,4,4,1,1,1,1,2,1
Shewanella decolorationis,0,0,0,4,4,2,1,1,1,1,2,1
Staphylococcus epidermidis,0,1,0,2,4,4,1,1,1,1,2,1
Streptococcus pneumoniae,0,1,0,4,4,4,1,1,1,1,2,1
Streptomyces coelicolor,0,1,0,4,4,3,1,1,1,1,2,1
Streptomyces lividans,0,0,0,2,2,1,1,1,1,1,1,1
Stutzerimonas stutzeri,0,0,0,1,1,1,1,1,1,1,1,1
Vibrio parahaemolyticus,0,0,0,4,4,3,1,1,1,1,2,1
Vibrio vulnificus,0,1,0,4,4,1,1,1,1,1,2,1
