Species
Bacillus anthracis
Chlamydia trachomatis
Vibrio parahaemolyticus
Pseudomonas fluorescens
Pseudomonas fulva
Pseudomonas mendocina
Stutzerimonas stutzeri
Enterococcus faecalis
Staphylococcus epidermidis
Acinetobacter baylyi
Riemerella anatipestifer
Streptomyces lividans
Pseudomonas protegens
Chlamydophila pneumoniae
Helicobacter pylori
Brucella melitensis
Streptomyces coelicolor
Listeria monocytogenes
Bacillus cereus
Bacillus velezensis
Burkholderia vietnamiensis
Lactiplantibacillus plantarum
Cutibacterium acnes
Mycolicibacterium smegmatis
Streptococcus pneumoniae
Pseudomonas stutzeri
Shewanella decolorationis
Brucella suis
Legionella pneumophila
Neisseria meningitidis
Rhodothermus marinus
Salmonella typhimurium
Vibrio vulnificus
