Scheme,Metric,Method,Mean_Silhouette,Valid
EUCLIDEAN_HDBSCAN,EUCLIDEAN,HDBSCAN,0.5701,TRUE
MANHATTAN_HDBSCAN,MANHATTAN,HDBSCAN,NA,FALSE
COSINE_HDBSCAN,COSINE,HDBSCAN,0.582,TRUE
EUCLIDEAN_KMEANS,EUCLIDEAN,KMEANS,0.3847,TRUE
MANHATTAN_KMEANS,MANHATTAN,KMEANS,0.3757,TRUE
COSINE_KMEANS,COSINE,KMEANS,0.3823,TRUE
EUCLIDEAN_DBSCAN,EUCLIDEAN,DBSCAN,NA,FALSE
MANHATTAN_DBSCAN,MANHATTAN,DBSCAN,NA,FALSE
COSINE_DBSCAN,COSINE,DBSCAN,NA,FALSE
EUCLIDEAN_GMM,EUCLIDEAN,GMM,0.5006,TRUE
MANHATTAN_GMM,MANHATTAN,GMM,0.4545,TRUE
COSINE_GMM,COSINE,GMM,NA,FALSE
