Ref_code,Year,Species,Full_ref,DOI
Alekshun1997,2000,Borrelia burgdorferi,"Alekshun M, Kashlev M, Schwartz I. Molecular cloning and characterization of Borrelia burgdorferi rpoB. Gene. 1997 Feb 28;186(2):227-35. doi: 10.1016/s0378-1119(96)00714-7. PMID: 9074501.",https://doi.org/10.1016/s0378-1119(96)00714-7
Aosh2003,2003,"Rhodococcus equi
(Prescottella equi)","Asoh N, Watanabe H, Fines-Guyon M, Watanabe K, Oishi K, Kositsakulchai W, Sanchai T, Kunsuikmengrai K, Kahintapong S, Khantawa B, Tharavichitkul P, Sirisanthana T, Nagatake T. Emergence of rifampin-resistant Rhodococcus equi with several types of mutations in the rpoB gene among AIDS patients in northern Thailand. J Clin Microbiol. 2003 Jun;41(6):2337-40. doi: 10.1128/JCM.41.6.2337-2340.2003. PMID: 12791846; PMCID: PMC156560.",https://doi.org/10.1128/JCM.41.6.2337-2340.2003
Beckler2008,2008,Mycobacterium avium,"Beckler, D. R., Elwasila, S., Ghobrial, G., Valentine, J. F., & Naser, S. A. (2008). Correlation between rpoB gene mutation in Mycobacterium avium subspecies paratuberculosis and clinical rifabutin and rifampicin resistance for treatment of Crohn’s disease. World journal of gastroenterology: WJG, 14(17), 2723.",https://doi.org/10.3748/wjg.14.2723
Billington1999,1999,Mycobacterium tuberculosis,"Billington, O. J., McHugh, T. D. & Gillespie, S. H. Physiological cost of rifampin resistance induced in vitro in Mycobacterium tuberculosis. Antimicrob. Agents Chemother. 43, 1866–1869 (1999)",https://doi.org/10.1128/AAC.43.8.1866
Boor1995,1995,Bacillus subtilis,"Boor, K. J., Duncan, M. L., & Price, C. W. (1995). Genetic and Transcriptional Organization of the Region Encoding the β Subunit of Bacillus subtilis RNA Polymerase (∗). Journal of Biological Chemistry, 270(35), 20329-20336.",https://doi.org/10.1074/jbc.270.35.20329
Borrell2013,2013,Mycobacterium smegmatis,"Sònia Borrell, Youjin Teo, Federica Giardina, Elizabeth M. Streicher, Marisa Klopper, Julia Feldmann, Borna Müller, Tommie C. Victor, Sebastien Gagneux, Epistasis between antibiotic resistance mutations drives the evolution of extensively drug-resistant tuberculosis, Evolution, Medicine, and Public Health, Volume 2013, Issue 1, 2013, Pages 65–74",https://doi.org/10.1093/emph/eot003
Brandis2015,2015,Salmonella enterica,"Brandis, Gerrit, Franziska Pietsch, Rahel Alemayehu, and Diarmaid Hughes. “Comprehensive Phenotypic Characterization of Rifampicin Resistance Mutations in Salmonella Provides Insight into the Evolution of Resistance in Mycobacterium Tuberculosis.” Journal of Antimicrobial Chemotherapy 70, no. 3 (March 2015): 680–85.",https://doi.org/10.1093/jac/dku434
CRyPTIC2022,2022,Mycobacterium tuberculosis,"The CRyPTIC Consortium. A data compendium associating the genomes of 12,289 Mycobacterium tuberculosis isolates with quantitative resistance phenotypes to 13 antibiotics. PLoS Biol. 2022 Aug 9;20(8):e3001721. doi: 10.1371/journal.pbio.3001721. PMID: 35944069; PMCID: PMC9363010.",https://doi.org/10.1371/journal.pbio.3001721
Cai2017,2017,Bacillus velezensis,"Cai, Xun-Chao, Huan Xi, Li Liang, Jia-Dong Liu, Chang-Hong Liu, Ya-Rong Xue, and Xiang-Yang Yu. “Rifampicin-Resistance Mutations in the RpoB Gene in Bacillus Velezensis CC09 Have Pleiotropic Effects.” Frontiers in Microbiology 8 (2017).",https://doi.org/10.3389/fmicb.2017.00178
Campbell2001,2001,Mycobacterium tuberculosis,"Campbell, E. A., Korzheva, N., Mustaev, A., Murakami, K., Nair, S., Goldfarb, A., & Darst, S. A. (2001). Structural mechanism for rifampicin inhibition of bacterial RNA polymerase. Cell, 104(6), 901-912.",https://doi.org/10.1016/S0092-8674(01)00286-0
Carter1994,1994,Neisseria meningitidis,"Carter PE, Abadi FJ, Yakubu DE, Pennington TH. Molecular characterization of rifampin-resistant Neisseria meningitidis. Antimicrob Agents Chemother. 1994 Jun;38(6):1256-61. doi: 10.1128/AAC.38.6.1256. PMID: 8092823; PMCID: PMC188195.",https://doi.org/10.1128/AAC.38.6.1256
Chen2004,2004,Streptococcus pneumoniae,"J.-Y. Chen, Chang-Phone Fung, Feng-Yee Chang, Li-Yueh Huang, Jen-Chang Chang, L. K. Siu, Mutations of the rpoB gene in rifampicin-resistant Streptococcus pneumoniae in Taiwan, Journal of Antimicrobial Chemotherapy, Volume 53, Issue 2, February 2004, Pages 375–378.",https://doi.org/10.1093/jac/dkh073
ChenalFrancisque2014,2014,Listeria monocytogenes,"Chenal-Francisque, Viviane, Caroline Charlier, Saleem Mehvish, Hélène Dieye, Alexandre Leclercq, Patrice Courvalin, and Marc Lecuit. “Highly Rifampin-Resistant Listeria Monocytogenes Isolated from a Patient with Prosthetic Bone Infection.” Antimicrobial Agents and Chemotherapy 58, no. 3 (March 2014): 1829–30.",https://doi.org/10.1128/AAC.02449-13
