Unit,EUCLIDEAN_HDBSCAN,MANHATTAN_HDBSCAN,COSINE_HDBSCAN,EUCLIDEAN_KMEANS,MANHATTAN_KMEANS,COSINE_KMEANS,EUCLIDEAN_DBSCAN,MANHATTAN_DBSCAN,COSINE_DBSCAN,EUCLIDEAN_GMM,MANHATTAN_GMM,COSINE_GMM
Acinetobacter baylyi__rpoB_Acinetobacter_baylyi_ADP1,2,0,2,1,3,1,1,1,1,1,1,1
Bacillus anthracis__rpoB_Bacillus_anthracis_Ames_Ancestor,0,0,1,1,1,1,1,1,1,1,1,1
Bacillus cereus__rpoB_Bacillus_cereus_FORC_047,0,0,0,1,1,1,1,1,1,1,1,1
Bacillus subtilis__rpoB_Bacillus_subtilis_168,0,3,0,1,3,2,1,1,1,1,1,1
Bacillus velezensis__rpoB_Bacillus_velezensis_JS25R,0,0,1,1,3,2,1,1,1,1,1,1
Brucella abortus__rpoB_Brucella_abortus_2308,2,0,1,3,2,1,1,1,1,2,1,1
Brucella melitensis__rpoB_Brucella_melitensis_M16,0,0,1,3,2,2,1,1,1,2,1,1
Brucella suis__rpoB_Brucella_suis_1330,2,2,1,3,2,2,1,1,1,2,1,1
Burkholderia vietnamiensis__rpoB_Burkholderia_vietnamiensis_FL-2-3-10-S3-D0,2,1,1,1,1,1,1,1,1,1,1,1
Chlamydia trachomatis__rpoB_Chlamydia_trachomatis_D/UW-3/CX,2,0,0,2,2,2,1,1,1,2,1,1
Chlamydophila pneumoniae__rpoB_Chlamydophila_pneumoniae_TW-183,0,0,1,2,2,2,1,1,1,2,1,1
Cutibacterium acnes__rpoB_Cutibacterium_acnes_HL096PA1,2,2,0,3,2,2,1,1,1,2,1,1
Deinococcus radiodurans__rpoB_Deinococcus_radiodurans_ATCC_13939,0,0,0,4,4,1,1,1,1,1,1,1
Enterococcus faecalis__rpoB_Enterococcus_faecalis_T5,0,3,0,1,3,3,1,1,1,1,1,1
Enterococcus faecium__rpoB_Enterococcus_faecium_SRR24,2,3,0,1,3,3,1,1,1,1,1,1
Escherichia coli__rpoB_Escherichia_coli_MG1655,0,0,2,4,4,4,1,1,1,1,1,1
Helicobacter pylori__rpoB_Helicobacter_pylori_MT5135,2,0,0,3,2,3,1,1,1,2,1,1
Lactiplantibacillus plantarum__rpoB_Lactiplantibacillus_plantarum_SRCM100442,2,0,0,1,1,3,1,1,1,1,1,1
Legionella bozemanii__rpoB_Legionella_bozemanii_NCTC11368,0,2,1,2,2,2,1,1,1,2,1,1
Legionella longbeachae__rpoB_Legionella_longbeachae_NSW150,2,0,0,2,2,3,1,1,1,2,1,1
Legionella micdadei__rpoB_Legionella_micdadei_ATCC_33218,0,2,1,2,2,2,1,1,1,2,1,1
Legionella pneumophila__rpoB_Legionella_pneumophila_C9_S,2,2,0,2,2,3,1,1,1,2,1,1
Listeria monocytogenes__rpoB_Listeria_monocytogenes_EGD-e,2,0,2,3,2,4,1,1,1,2,1,1
Mycobacterium avium__rpoB_Mycobacterium_avium_OCU889s_P11_4s,0,0,1,2,2,2,1,1,1,2,1,1
Mycobacterium tuberculosis__rpoB_Mycobacterium_tuberculosis_H37Rv,0,0,0,1,3,3,1,1,1,1,1,1
Mycolicibacterium smegmatis__rpoB_Mycolicibacterium_smegmatis_FDAARGOS_679,2,3,1,1,3,3,1,1,1,1,1,1
Neisseria meningitidis__rpoB_Neisseria_meningitidis_11_7,2,3,0,1,3,3,1,1,1,1,1,1
Pseudomonas aeruginosa__rpoB_Pseudomonas_aeruginosa_PAO1,0,0,2,4,4,4,1,1,1,1,1,1
Pseudomonas fluorescens__rpoB_Pseudomonas_fluorescens_ATCC_13525,0,1,2,4,1,4,1,1,1,1,1,1
Pseudomonas fulva__rpoB_Pseudomonas_fulva_YAB-1,0,1,2,4,4,4,1,1,1,1,1,1
Pseudomonas mendocina__rpoB_Pseudomonas_mendocina_S5.2,1,0,0,4,1,4,1,1,1,1,1,1
Pseudomonas protegens__rpoB_Pseudomonas_protegens_CHA0,1,1,0,4,1,4,1,1,1,1,1,1
Pseudomonas putida__rpoB_Pseudomonas_putida_NBRC_14164,1,1,2,4,4,4,1,1,1,1,1,1
Riemerella anatipestifer__rpoB_Riemerella_anatipestifer_20190403E1-1,0,2,0,1,3,3,1,1,1,1,1,1
Salmonella enterica__rpoB_Salmonella_enterica_LT2,1,0,0,4,4,4,1,1,1,1,1,1
Staphylococcus aureus__rpoB_Staphylococcus_aureus_NCTC_8325,2,0,0,1,3,4,1,1,1,1,1,1
Staphylococcus epidermidis__rpoB_Staphylococcus_epidermidis_ATCC_14990,2,0,0,3,2,3,1,1,1,2,1,1
Streptococcus pneumoniae__rpoB_Streptococcus_pneumoniae_Hu17,2,2,1,2,2,1,1,1,1,2,1,1
Streptomyces coelicolor__rpoB_Streptomyces_coelicolor_M1154/pAMX4/pGP1416,2,0,0,2,2,2,1,1,1,2,1,1
Streptomyces lividans__rpoB_Streptomyces_lividans_TK24,0,3,0,3,3,4,1,1,1,2,1,1
Stutzerimonas stutzeri__rpoB_Stutzerimonas_stutzeri_F2a,1,1,2,4,4,4,1,1,1,1,1,1
Vibrio parahaemolyticus__rpoB_Vibrio_parahaemolyticus_RIMD_2210633,2,0,1,2,2,1,1,1,1,2,1,1
Vibrio vulnificus__rpoB_Vibrio_vulnificus_FORC_037,2,2,0,2,2,3,1,1,1,2,1,1
